"month","year","average"
"08","10",2.86666666667
"09","10",2.7
"10","10",2.28205128205
"11","10",3.07843137255
"12","10",2.4
"01","11",2.72727272727
"02","11",3.04761904762
"03","11",2.90909090909
"04","11",2.85106382979
"05","11",3.08571428571
"08","11",2.48275862069
"09","11",2.9
"10","11",3.4
"11","11",2.86666666667
"12","11",2.62068965517
"01","12",2.68421052632
"02","12",3.08823529412
"03","12",2.55319148936
"04","12",2.76
"05","12",2.83333333333
"08","12",2.85
"09","12",2.92105263158
"10","12",3.06451612903
"11","12",2.42
"12","12",3.10169491525
"01","13",2.78571428571
"02","13",2.9
"03","13",2.6
"04","13",2.5
"05","13",2.90909090909
"08","13",2.0
"09","13",2.48484848485
"10","13",2.76666666667
"11","13",2.45
